data,hospitais_relataram_estado_critico,hospitais_relataram_estado_nao_critico,hospitais_previram_estado_critico,hospitais_previram_estado_nao_critico,admissoes_adultos_covid_confirmado,pacientes_uti_adultos_covid_confirmado,internacoes_pediatricas_covid_confirmado,total_leitos_uti_adultos,mortes_covid,total_testes_acumulado,testes_diarios,media_movel_testes_diarios,taxa_positividade_curto_prazo,testes_por_caso_curto_prazo
2020-03-01,0,0,0,0,0.0,0.0,0.0,0,0.0,348.0,348.0,,,
2020-03-02,0,0,0,0,0.0,0.0,0.0,0,1.0,863.0,515.0,,,
2020-03-03,0,0,0,0,0.0,0.0,0.0,0,6.0,1480.0,617.0,,,
2020-03-04,0,0,0,0,0.0,0.0,0.0,0,0.0,2369.0,889.0,,,
2020-03-05,0,0,0,0,0.0,0.0,0.0,0,0.0,3572.0,1203.0,,,
2020-03-06,0,0,0,0,0.0,0.0,0.0,0,0.0,5095.0,1523.0,,,
2020-03-07,0,0,0,0,0.0,0.0,0.0,0,0.0,6867.0,1772.0,,0.107,9.3
2020-03-08,0,0,0,0,0.0,0.0,0.0,0,1.0,8505.0,1638.0,1165.0,0.111,9.0
2020-03-09,0,0,0,0,0.0,0.0,0.0,0,1.0,10902.0,2397.0,1434.0,0.109,9.2
2020-03-10,0,0,0,0,0.0,0.0,0.0,0,1.0,14382.0,3480.0,1843.0,0.113,8.8
2020-03-11,0,0,0,0,0.0,0.0,0.0,0,0.0,19214.0,4832.0,2406.0,0.111,9.0
2020-03-12,0,0,0,0,0.0,0.0,0.0,0,2.0,28105.0,8891.0,3505.0,0.104,9.6
2020-03-13,0,0,0,0,0.0,0.0,0.0,0,1.0,39833.0,11728.0,4963.0,0.099,10.1
2020-03-14,0,0,0,0,0.0,0.0,0.0,0,3.0,52880.0,13047.0,6573.0,0.098,10.2
2020-03-15,0,0,0,0,0.0,0.0,0.0,0,2.0,67322.0,14442.0,8402.0,0.096,10.4
2020-03-16,0,0,0,0,0.0,0.0,0.0,0,4.0,94650.0,27328.0,11964.0,0.097,10.3
2020-03-17,0,0,0,0,0.0,0.0,0.0,0,4.0,134499.0,39849.0,17160.0,0.104,9.6
2020-03-18,0,0,0,0,0.0,0.0,0.0,0,8.0,184895.0,50396.0,23669.0,0.111,9.0
2020-03-19,0,0,0,0,0.0,0.0,0.0,0,12.0,245562.0,60667.0,31065.0,0.114,8.8
2020-03-20,0,0,0,0,0.0,0.0,0.0,0,8.0,321885.0,76323.0,40293.0,0.121,8.3
2020-03-21,0,0,0,0,0.0,0.0,0.0,0,10.0,397690.0,75805.0,49259.0,0.129,7.8
2020-03-22,0,0,0,0,1.0,0.0,0.0,0,17.0,471628.0,73938.0,57758.0,0.137,7.3
2020-03-23,0,0,0,0,1.0,0.0,0.0,0,21.0,551491.0,79863.0,65263.0,0.146,6.8
