data,hospitais_relataram_estado_critico,hospitais_relataram_estado_nao_critico,hospitais_previram_estado_critico,hospitais_previram_estado_nao_critico,admissoes_adultos_covid_confirmado,pacientes_uti_adultos_covid_confirmado,internacoes_pediatricas_covid_confirmado,total_leitos_uti_adultos,mortes_covid
2020-03-01,0,0,0,0,0.0,0.0,0.0,0,0.0
2020-03-02,0,0,0,0,0.0,0.0,0.0,0,1.0
2020-03-03,0,0,0,0,0.0,0.0,0.0,0,6.0
2020-03-04,0,0,0,0,0.0,0.0,0.0,0,0.0
2020-03-05,0,0,0,0,0.0,0.0,0.0,0,0.0
2020-03-06,0,0,0,0,0.0,0.0,0.0,0,0.0
2020-03-07,0,0,0,0,0.0,0.0,0.0,0,0.0
2020-03-08,0,0,0,0,0.0,0.0,0.0,0,1.0
2020-03-09,0,0,0,0,0.0,0.0,0.0,0,1.0
2020-03-10,0,0,0,0,0.0,0.0,0.0,0,1.0
2020-03-11,0,0,0,0,0.0,0.0,0.0,0,0.0
2020-03-12,0,0,0,0,0.0,0.0,0.0,0,2.0
2020-03-13,0,0,0,0,0.0,0.0,0.0,0,1.0
2020-03-14,0,0,0,0,0.0,0.0,0.0,0,3.0
2020-03-15,0,0,0,0,0.0,0.0,0.0,0,2.0
2020-03-16,0,0,0,0,0.0,0.0,0.0,0,4.0
2020-03-17,0,0,0,0,0.0,0.0,0.0,0,4.0
2020-03-18,0,0,0,0,0.0,0.0,0.0,0,8.0
2020-03-19,0,0,0,0,0.0,0.0,0.0,0,12.0
2020-03-20,0,0,0,0,0.0,0.0,0.0,0,8.0
2020-03-21,0,0,0,0,0.0,0.0,0.0,0,10.0
2020-03-22,0,0,0,0,1.0,0.0,0.0,0,17.0
2020-03-23,0,0,0,0,1.0,0.0,0.0,0,21.0
2020-03-24,0,0,0,0,2.0,0.0,0.0,0,18.0
2020-03-25,0,0,0,0,3.0,0.0,0.0,0,34.0
2020-03-26,0,1,0,1,2.0,0.0,0.0,1,97.0
2020-03-27,0,1,0,1,2.0,0.0,0.0,1,52.0
2020-03-28,0,1,0,1,2.0,0.0,0.0,1,64.0
2020-03-29,0,1,0,1,4.0,0.0,0.0,1,80.0
2020-03-30,0,1,0,1,2.0,0.0,0.0,1,258.0
2020-03-31,0,1,0,1,2.0,0.0,0.0,1,413.0
2020-04-01,0,1,0,1,2.0,0.0,0.0,1,640.0
2020-04-02,0,1,0,1,2.0,0.0,0.0,1,826.0
2020-04-03,0,1,0,1,2.0,0.0,0.0,1,960.0
2020-04-04,0,0,0,0,2.0,0.0,0.0,0,1095.0
2020-04-05,0,0,0,0,0.0,0.0,0.0,0,1017.0
2020-04-06,0,0,0,0,74.0,0.0,0.0,0,1077.0
2020-04-07,0,0,0,0,76.0,0.0,0.0,0,1098.0
2020-04-08,0,0,0,0,64.0,0.0,0.0,0,1169.0
2020-04-09,0,0,0,0,74.0,45.0,0.0,0,1264.0
2020-04-10,6,46,6,46,133.0,69.0,6.0,58,1216.0
2020-04-11,6,47,6,47,102.0,76.0,6.0,59,1225.0
2020-04-12,6,47,6,47,123.0,79.0,6.0,59,1238.0
2020-04-13,6,45,6,45,113.0,78.0,6.0,56,1378.0
2020-04-14,6,45,6,45,104.0,84.0,6.0,56,1550.0
2020-04-15,0,1,0,1,56.0,61.0,0.0,1,1182.0
2020-04-16,0,1,0,1,38.0,56.0,0.0,16,1106.0
2020-04-17,0,1,0,1,86.0,52.0,0.0,16,1145.0
2020-04-18,0,2,0,2,67.0,52.0,0.0,25,1363.0
2020-04-19,0,2,0,2,83.0,52.0,0.0,25,796.0
2020-04-20,0,1,0,1,66.0,0.0,0.0,21,1020.0
2020-04-21,0,1,0,1,48.0,0.0,0.0,19,963.0
2020-04-22,0,1,0,1,0.0,0.0,0.0,22,1037.0
2020-04-23,0,1,0,1,50.0,0.0,0.0,24,1077.0
2020-04-24,0,1,0,1,68.0,0.0,0.0,26,1200.0
2020-04-25,0,2,0,2,65.0,0.0,0.0,31,1131.0
2020-04-26,0,2,0,2,41.0,0.0,0.0,32,1032.0
2020-04-27,0,2,0,2,48.0,0.0,0.0,27,1081.0
2020-04-28,0,2,0,2,44.0,0.0,0.0,26,1203.0
2020-04-29,0,2,0,2,68.0,0.0,0.0,26,1289.0
2020-04-30,0,2,0,2,111.0,0.0,0.0,24,1194.0
2020-05-01,0,2,0,2,101.0,0.0,0.0,25,1302.0
2020-05-02,0,2,0,2,103.0,30.0,0.0,21,1229.0
2020-05-03,0,2,0,2,82.0,32.0,0.0,30,1067.0
2020-05-04,0,2,0,2,78.0,30.0,0.0,24,1149.0
2020-05-05,0,2,0,2,66.0,27.0,0.0,26,1118.0
2020-05-06,0,2,0,2,27.0,26.0,0.0,26,1061.0
2020-05-07,0,2,0,2,64.0,31.0,0.0,27,1114.0
2020-05-08,0,2,0,2,74.0,28.0,0.0,26,1170.0
2020-05-09,0,2,0,2,82.0,24.0,0.0,31,915.0
2020-05-10,0,2,0,2,60.0,28.0,0.0,31,879.0
2020-05-11,0,2,0,2,53.0,27.0,0.0,16,983.0
2020-05-12,0,5,1,4,54.0,28.0,0.0,27,963.0
2020-05-13,0,11,2,9,60.0,30.0,0.0,27,1036.0
2020-05-14,0,10,2,8,71.0,32.0,0.0,26,1042.0
2020-05-15,0,12,3,10,62.0,33.0,0.0,27,632.0
2020-05-16,0,10,3,8,93.0,30.0,0.0,23,606.0
2020-05-17,0,10,3,8,66.0,24.0,0.0,23,585.0
2020-05-18,0,12,3,10,63.0,27.0,0.0,27,2729.0
2020-05-19,0,12,3,10,69.0,36.0,0.0,27,2727.0
2020-05-20,0,12,3,10,82.0,35.0,0.0,27,2767.0
2020-05-21,0,13,3,11,60.0,35.0,0.0,28,2758.0
2020-05-22,0,10,3,8,21.0,30.0,0.0,21,2782.0
2020-05-23,0,9,3,7,58.0,25.0,0.0,20,2795.0
2020-05-24,0,9,3,7,46.0,25.0,0.0,20,2734.0
2020-05-25,0,10,3,8,46.0,25.0,0.0,21,2786.0
2020-05-26,1,11,4,9,39.0,28.0,0.0,25,2738.0
2020-05-27,1,8,4,6,46.0,1.0,0.0,19,2784.0
2020-05-28,1,8,4,6,46.0,1.0,0.0,19,2743.0
2020-05-29,1,13,4,11,46.0,10.0,0.0,28,2616.0
2020-05-30,1,14,4,12,40.0,17.0,0.0,33,2543.0
2020-05-31,1,14,4,12,40.0,16.0,0.0,33,2531.0
2020-06-01,1,12,4,10,34.0,6.0,0.0,26,2578.0
2020-06-02,1,12,4,10,27.0,8.0,0.0,26,2567.0
2020-06-03,1,12,4,10,23.0,7.0,0.0,26,2697.0
2020-06-04,1,12,4,10,30.0,5.0,0.0,26,371.0
2020-06-05,1,14,4,12,27.0,11.0,0.0,27,431.0
2020-06-06,1,17,4,15,27.0,16.0,0.0,35,376.0
2020-06-07,1,17,4,15,32.0,16.0,0.0,35,343.0
2020-06-08,1,15,4,13,23.0,5.0,0.0,28,397.0
2020-06-09,1,10,3,8,20.0,5.0,0.0,20,379.0
2020-06-10,1,8,2,7,54.0,2.0,0.0,18,385.0
2020-06-11,1,8,2,7,59.0,2.0,0.0,18,407.0
2020-06-12,2,16,3,15,48.0,15.0,0.0,29,331.0
2020-06-13,2,21,3,20,44.0,17.0,0.0,39,284.0
2020-06-14,2,20,3,19,40.0,18.0,0.0,38,299.0
2020-06-15,1,11,2,10,25.0,2.0,0.0,22,351.0
2020-06-16,2,16,3,15,34.0,5.0,0.0,28,338.0
2020-06-17,2,16,3,15,29.0,5.0,0.0,28,294.0
2020-06-18,2,15,3,14,36.0,4.0,0.0,27,303.0
2020-06-19,2,15,3,14,39.0,14.0,0.0,28,259.0
2020-06-20,2,20,3,19,43.0,14.0,0.0,38,256.0
2020-06-21,2,20,3,19,45.0,14.0,0.0,38,264.0
2020-06-22,2,14,3,13,51.0,11.0,0.0,27,371.0
2020-06-23,2,14,3,13,68.0,24.0,0.0,27,319.0
2020-06-24,2,14,3,13,61.0,7.0,0.0,27,359.0
2020-06-25,2,14,3,13,67.0,10.0,0.0,28,406.0
2020-06-26,2,14,3,13,92.0,9.0,0.0,28,404.0
2020-06-27,2,20,3,19,86.0,15.0,0.0,40,410.0
2020-06-28,2,19,3,18,86.0,14.0,0.0,39,443.0
2020-06-29,2,15,3,14,113.0,11.0,0.0,30,485.0
2020-06-30,2,11,3,10,145.0,11.0,0.0,23,434.0
2020-07-01,2,16,3,15,128.0,6.0,0.0,31,437.0
2020-07-02,2,17,3,16,115.0,2.0,0.0,33,362.0
2020-07-03,2,21,3,20,128.0,6.0,0.0,36,437.0
2020-07-04,2,21,3,20,113.0,16.0,0.0,42,434.0
2020-07-05,2,22,3,21,104.0,15.0,0.0,43,466.0
2020-07-06,2,15,3,14,110.0,13.0,0.0,31,512.0
