data,total_testes_acumulado,testes_diarios,media_movel_testes_diarios,taxa_positividade_curto_prazo,testes_por_caso_curto_prazo
2020-03-01,348.0,348.0,,,
2020-03-02,863.0,515.0,,,
2020-03-03,1480.0,617.0,,,
2020-03-04,2369.0,889.0,,,
2020-03-05,3572.0,1203.0,,,
2020-03-06,5095.0,1523.0,,,
2020-03-07,6867.0,1772.0,,0.107,9.3
2020-03-08,8505.0,1638.0,1165.0,0.111,9.0
2020-03-09,10902.0,2397.0,1434.0,0.109,9.2
2020-03-10,14382.0,3480.0,1843.0,0.113,8.8
2020-03-11,19214.0,4832.0,2406.0,0.111,9.0
2020-03-12,28105.0,8891.0,3505.0,0.104,9.6
2020-03-13,39833.0,11728.0,4963.0,0.099,10.1
2020-03-14,52880.0,13047.0,6573.0,0.098,10.2
2020-03-15,67322.0,14442.0,8402.0,0.096,10.4
2020-03-16,94650.0,27328.0,11964.0,0.097,10.3
2020-03-17,134499.0,39849.0,17160.0,0.104,9.6
2020-03-18,184895.0,50396.0,23669.0,0.111,9.0
2020-03-19,245562.0,60667.0,31065.0,0.114,8.8
2020-03-20,321885.0,76323.0,40293.0,0.121,8.3
2020-03-21,397690.0,75805.0,49259.0,0.129,7.8
2020-03-22,471628.0,73938.0,57758.0,0.137,7.3
2020-03-23,551491.0,79863.0,65263.0,0.146,6.8
2020-03-24,656096.0,104605.0,74514.0,0.154,6.5
2020-03-25,770807.0,114711.0,83702.0,0.16,6.2
2020-03-26,900092.0,129285.0,93504.0,0.168,6.0
2020-03-27,1035942.0,135850.0,102008.0,0.174,5.7
2020-03-28,1157698.0,121756.0,108573.0,0.18,5.6
2020-03-29,1267961.0,110263.0,113762.0,0.184,5.4
2020-03-30,1391454.0,123493.0,119995.0,0.188,5.3
2020-03-31,1533740.0,142286.0,125378.0,0.193,5.2
2020-04-01,1686877.0,153137.0,130867.0,0.199,5.0
2020-04-02,1848672.0,161795.0,135511.0,0.204,4.9
2020-04-03,2017976.0,169304.0,140291.0,0.207,4.8
2020-04-04,2165734.0,147758.0,144005.0,0.209,4.8
2020-04-05,2304390.0,138656.0,148061.0,0.21,4.8
2020-04-06,2447497.0,143107.0,150863.0,0.211,4.7
2020-04-07,2627490.0,179993.0,156250.0,0.208,4.8
2020-04-08,2795824.0,168334.0,158421.0,0.206,4.9
2020-04-09,2969900.0,174076.0,160175.0,0.205,4.9
2020-04-10,3142018.0,172118.0,160577.0,0.205,4.9
2020-04-11,3352511.0,210493.0,169540.0,0.2,5.0
2020-04-12,3464086.0,111575.0,165671.0,0.2,5.0
2020-04-13,3578297.0,114211.0,161543.0,0.199,5.0
2020-04-14,3740883.0,162586.0,159056.0,0.198,5.1
2020-04-15,3913295.0,172412.0,159639.0,0.197,5.1
2020-04-16,4097588.0,184293.0,161098.0,0.194,5.2
2020-04-17,4296205.0,198617.0,164884.0,0.188,5.3
2020-04-18,4463573.0,167368.0,158723.0,0.188,5.3
2020-04-19,4597996.0,134423.0,161987.0,0.183,5.5
2020-04-20,4758541.0,160545.0,168606.0,0.178,5.6
2020-04-21,4979861.0,221320.0,176997.0,0.173,5.8
2020-04-22,5215797.0,235936.0,186072.0,0.166,6.0
2020-04-23,5449169.0,233372.0,193083.0,0.162,6.2
2020-04-24,5708841.0,259672.0,201805.0,0.158,6.3
2020-04-25,5928518.0,219677.0,209278.0,0.155,6.5
2020-04-26,6100208.0,171690.0,214602.0,0.154,6.5
2020-04-27,6326139.0,225931.0,223943.0,0.151,6.6
2020-04-28,6595978.0,269839.0,230874.0,0.146,6.8
2020-04-29,6890877.0,294899.0,239297.0,0.143,7.0
2020-04-30,7213558.0,322681.0,252056.0,0.139,7.2
2020-05-01,7550390.0,336832.0,263078.0,0.136,7.4
2020-05-02,7818844.0,268454.0,270047.0,0.132,7.6
2020-05-03,8026548.0,207704.0,275191.0,0.128,7.8
2020-05-04,8277321.0,250773.0,278740.0,0.124,8.1
2020-05-05,8596779.0,319458.0,285829.0,0.121,8.3
2020-05-06,8956540.0,359761.0,295095.0,0.116,8.6
2020-05-07,9319275.0,362735.0,300817.0,0.112,8.9
2020-05-08,9723038.0,403763.0,310378.0,0.106,9.4
2020-05-09,10058825.0,335787.0,319997.0,0.103,9.7
2020-05-10,10307904.0,249079.0,325908.0,0.1,10.0
2020-05-11,10627842.0,319938.0,335789.0,0.097,10.3
2020-05-12,11049907.0,422065.0,350447.0,0.092,10.9
2020-05-13,11500351.0,450444.0,363402.0,0.088,11.4
2020-05-14,11950750.0,450399.0,375925.0,0.085,11.8
2020-05-15,12396428.0,445678.0,381913.0,0.083,12.0
2020-05-16,12762569.0,366141.0,386249.0,0.082,12.2
2020-05-17,13067038.0,304469.0,394162.0,0.082,12.2
2020-05-18,13420178.0,353140.0,398905.0,0.081,12.3
2020-05-19,13854260.0,434082.0,400622.0,0.08,12.5
2020-05-20,14317266.0,463006.0,402416.0,0.079,12.7
2020-05-21,14777089.0,459823.0,403763.0,0.077,13.0
2020-05-22,15269699.0,492610.0,410467.0,0.076,13.2
2020-05-23,15660091.0,390392.0,413932.0,0.074,13.5
2020-05-24,16007015.0,346924.0,419997.0,0.072,13.9
2020-05-25,16336135.0,329120.0,416565.0,0.071,14.1
2020-05-26,16797638.0,461503.0,420483.0,0.07,14.3
2020-05-27,17351427.0,553789.0,433452.0,0.068,14.7
2020-05-28,17888192.0,536765.0,444443.0,0.068,14.7
2020-05-29,18435513.0,547321.0,452259.0,0.067,14.9
2020-05-30,18889687.0,454174.0,461371.0,0.066,15.2
2020-05-31,19263248.0,373561.0,465176.0,0.065,15.4
2020-06-01,19702700.0,439452.0,480938.0,0.064,15.6
2020-06-02,20224997.0,522297.0,489623.0,0.063,15.9
2020-06-03,20807626.0,582629.0,493743.0,0.062,16.1
2020-06-04,21426434.0,618808.0,505463.0,0.061,16.4
2020-06-05,21999862.0,573428.0,509193.0,0.06,16.7
2020-06-06,22464445.0,464583.0,510680.0,0.059,16.9
2020-06-07,22870161.0,405716.0,515273.0,0.058,17.2
2020-06-08,23319580.0,449419.0,516697.0,0.059,16.9
2020-06-09,23880166.0,560586.0,522167.0,0.058,17.2
2020-06-10,24509206.0,629040.0,528797.0,0.058,17.2
2020-06-11,25124266.0,615060.0,528262.0,0.057,17.5
2020-06-12,25741024.0,616758.0,534452.0,0.058,17.2
2020-06-13,26272873.0,531849.0,544061.0,0.058,17.2
2020-06-14,26686077.0,413204.0,545131.0,0.059,16.9
2020-06-15,27192712.0,506635.0,553305.0,0.061,16.4
2020-06-16,27865885.0,673173.0,569388.0,0.063,15.9
2020-06-17,28572066.0,706181.0,580409.0,0.066,15.2
2020-06-18,29274269.0,702203.0,592858.0,0.069,14.5
2020-06-19,29978796.0,704527.0,605396.0,0.072,13.9
2020-06-20,30563132.0,584336.0,612894.0,0.074,13.5
2020-06-21,30984606.0,421474.0,614076.0,0.075,13.3
2020-06-22,31532732.0,548126.0,620003.0,0.077,13.0
2020-06-23,32233546.0,700814.0,623952.0,0.078,12.8
2020-06-24,33000820.0,767274.0,632679.0,0.079,12.7
2020-06-25,33772562.0,771742.0,642613.0,0.08,12.5
2020-06-26,34582858.0,810296.0,657723.0,0.083,12.0
2020-06-27,35276698.0,693840.0,673367.0,0.085,11.8
2020-06-28,35843099.0,566401.0,694070.0,0.086,11.6
2020-06-29,36508253.0,665154.0,710789.0,0.088,11.4
2020-06-30,37364667.0,856414.0,733017.0,0.091,11.0
2020-07-01,38249704.0,885037.0,749841.0,0.094,10.6
2020-07-02,39108708.0,859004.0,762307.0,0.097,10.3
2020-07-03,39910121.0,801413.0,761038.0,0.098,10.2
2020-07-04,40530960.0,620839.0,750609.0,0.1,10.0
2020-07-05,41058075.0,527115.0,744997.0,0.102,9.8
2020-07-06,41784009.0,725934.0,753679.0,0.104,9.6
2020-07-07,42687872.0,903863.0,760458.0,0.105,9.5
2020-07-08,43669151.0,981279.0,774207.0,0.105,9.5
2020-07-09,44681497.0,1012346.0,796113.0,0.105,9.5
2020-07-10,45697903.0,1016406.0,826826.0,0.105,9.5
2020-07-11,46538398.0,840495.0,858205.0,0.105,9.5
2020-07-12,47236508.0,698110.0,882633.0,0.104,9.6
2020-07-13,48104806.0,868298.0,902971.0,0.104,9.6
2020-07-14,49109041.0,1004235.0,917310.0,0.104,9.6
2020-07-15,50144736.0,1035695.0,925084.0,0.103,9.7
2020-07-16,51174133.0,1029397.0,927519.0,0.102,9.8
2020-07-17,52221904.0,1047771.0,932000.0,0.101,9.9
2020-07-18,53134643.0,912739.0,942321.0,0.1,10.0
2020-07-19,53853153.0,718510.0,945235.0,0.098,10.2
2020-07-20,54761005.0,907852.0,950886.0,0.098,10.2
2020-07-21,55797737.0,1036732.0,955528.0,0.097,10.3
2020-07-22,56907894.0,1110157.0,966165.0,0.096,10.4
2020-07-23,57992334.0,1084440.0,974029.0,0.095,10.5
2020-07-24,59067408.0,1075074.0,977929.0,0.093,10.8
2020-07-25,59949657.0,882249.0,973573.0,0.093,10.8
2020-07-26,60627606.0,677949.0,967779.0,0.093,10.8
2020-07-27,61425685.0,798079.0,952097.0,0.091,11.0
2020-07-28,62394274.0,968589.0,942362.0,0.09,11.1
2020-07-29,63435253.0,1040979.0,932480.0,0.088,11.4
2020-07-30,64473913.0,1038660.0,925940.0,0.088,11.4
2020-07-31,65464901.0,990988.0,913928.0,0.086,11.6
2020-08-01,66257905.0,793004.0,901178.0,0.084,11.9
2020-08-02,66882462.0,624557.0,893551.0,0.083,12.0
2020-08-03,67659829.0,777367.0,890592.0,0.082,12.2
2020-08-04,68544087.0,884258.0,878545.0,0.081,12.3
2020-08-05,69510054.0,965967.0,867829.0,0.079,12.7
2020-08-06,70501120.0,991066.0,861030.0,0.076,13.2
2020-08-07,71517263.0,1016143.0,864623.0,0.075,13.3
2020-08-08,72333228.0,815965.0,867903.0,0.073,13.7
2020-08-09,72959998.0,626770.0,868219.0,0.073,13.7
2020-08-10,73745438.0,785440.0,869373.0,0.071,14.1
2020-08-11,74655066.0,909628.0,872997.0,0.07,14.3
2020-08-12,75683714.0,1028648.0,881951.0,0.068,14.7
2020-08-13,76664393.0,980679.0,880468.0,0.067,14.9
2020-08-14,77626301.0,961908.0,872720.0,0.065,15.4
2020-08-15,78394254.0,767953.0,865861.0,0.064,15.6
2020-08-16,78967257.0,573003.0,858180.0,0.063,15.9
